Trial_ID,Problem,Correct_Answer,User_Response,RT,Correct
1,34 + 13,47,47,7.120183457969688,1
2,53 - 20,33,33,2.6364062079810537,1
3,20 + 40,60,60,1.7790844170376658,1
4,44 + 12,56,56,2.3832720000064,1
5,24 + 44,68,68,2.427236083021853,1
6,78 - 29,49,49,5.4391714169760235,1
7,66 - 48,18,18,3.6698431659606285,1
8,26 + 19,45,45,3.9257080419920385,1
9,52 - 7,45,45,3.907446249970235,1
10,74 - 9,65,65,3.0627428330481052,1
11,31 - 18,13,13,6.7510482499492355,1
12,49 - 9,40,40,1.982018834038172,1
13,33 - 12,21,21,2.6586887919693254,1
14,77 - 6,71,71,2.0259518330567516,1
15,44 - 28,16,16,3.7419380419887602,1
16,46 - 7,39,39,5.269132916000672,1
17,71 - 35,36,36,5.803451290994417,1
18,64 - 32,32,32,2.611926708021201,1
19,40 + 49,89,89,2.2004609160358086,1
20,68 - 49,19,19,3.108277667022776,1
21,10 + 44,54,54,1.644753957982175,1
22,40 - 22,18,18,2.0133761250181124,1
23,23 + 40,63,63,2.604334458010271,1
24,34 - 23,11,11,3.345365374989342,1
25,37 + 37,74,74,2.6906515829614364,1
26,44 - 5,39,39,2.1701643749838695,1
27,42 - 15,27,27,2.6037876660120673,1
28,36 - 8,28,28,3.3879653749754652,1
29,25 + 20,45,45,1.6566956249880604,1
30,77 - 65,12,12,4.778545000008307,1
